analysis	correlation_type	network_pair	condition_contrast	participant	complete	sham_z	rtpj_z	vlpfc_z	both_z	delta_fisher_z
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-sham	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	-0.1057186235
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-rtpj	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	-0.2621823364
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-vlpfc	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	-0.0817074381
smith09-reward_denoised	full	auditory__brain-reward-signature	rtpj-minus-vlpfc	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	0.1804748983
smith09-reward_denoised	full	auditory__brain-reward-signature	rtpj-minus-sham	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	0.1564637129
smith09-reward_denoised	full	auditory__brain-reward-signature	vlpfc-minus-sham	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	-0.0240111854
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-mean-rtpj-vlpfc	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	-0.1719448872
smith09-reward_denoised	full	auditory__brain-reward-signature	mean-stimulation-minus-sham	sub-189	true	-0.1892346678	-0.03277095494	-0.2132458532	-0.2949532913	0.00891130132
smith09-reward_denoised	full	auditory__ecn	both-minus-sham	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	0.1930688174
smith09-reward_denoised	full	auditory__ecn	both-minus-rtpj	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	-0.1069815999
smith09-reward_denoised	full	auditory__ecn	both-minus-vlpfc	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	0.2341962427
smith09-reward_denoised	full	auditory__ecn	rtpj-minus-vlpfc	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	0.3411778426
smith09-reward_denoised	full	auditory__ecn	rtpj-minus-sham	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	0.3000504173
smith09-reward_denoised	full	auditory__ecn	vlpfc-minus-sham	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	-0.0411274253
smith09-reward_denoised	full	auditory__ecn	both-minus-mean-rtpj-vlpfc	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	0.06360732139
smith09-reward_denoised	full	auditory__ecn	mean-stimulation-minus-sham	sub-189	true	-0.3149202294	-0.01486981208	-0.3560476547	-0.121851412	0.1506639365
smith09-reward_denoised	full	auditory__left-fpn	both-minus-sham	sub-189	true	0.02151029399	-0.1961415726	-0.3142966359	-0.1182854771	-0.1397957711
smith09-reward_denoised	full	auditory__left-fpn	both-minus-rtpj	sub-189	true	0.02151029399	-0.1961415726	-0.3142966359	-0.1182854771	0.0778560955
smith09-reward_denoised	full	auditory__left-fpn	both-minus-vlpfc	sub-189	true	0.02151029399	-0.1961415726	-0.3142966359	-0.1182854771	0.1960111588
smith09-reward_denoised	full	auditory__left-fpn	rtpj-minus-vlpfc	sub-189	true	0.02151029399	-0.1961415726	-0.3142966359	-0.1182854771	0.1181550633
smith09-reward_denoised	full	auditory__left-fpn	rtpj-minus-sham	sub-189	true	0.02151029399	-0.1961415726	-0.3142966359	-0.1182854771	-0.2176518666
smith09-reward_denoised	full	auditory__left-fpn	vlpfc-minus-sham	sub-189	true	0.02151029399	-0.1961415726	-0.3142966359	-0.1182854771	-0.3358069299
