model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	participant	run	condition	dual_regression_label	stage2_beta
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-189	02	sham	subject00000	-0.682831
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-189	01	rtpj	subject00001	-0.405272
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-189	04	vlpfc	subject00002	-1.526864
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-189	03	both	subject00003	-0.85231
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-203	03	sham	subject00004	-0.188288
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-203	04	rtpj	subject00005	-0.086654
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-203	01	vlpfc	subject00006	-0.49509
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-203	02	both	subject00007	0.123268
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-207	02	sham	subject00008	0.206661
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-207	01	rtpj	subject00009	-0.21738
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-207	04	vlpfc	subject00010	-1.666978
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-207	03	both	subject00011	-0.1677
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-209	01	sham	subject00016	-0.344381
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-209	03	rtpj	subject00017	-1.336114
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-209	02	vlpfc	subject00018	-1.42303
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-209	04	both	subject00019	-0.516041
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-210	03	sham	subject00020	-0.295034
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-210	04	rtpj	subject00021	0.269751
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-210	01	vlpfc	subject00022	-0.553553
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-210	02	both	subject00023	-0.276063
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-211	04	sham	subject00024	-0.162518
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-211	02	rtpj	subject00025	-0.176936
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-211	03	vlpfc	subject00026	-0.352316
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-211	01	both	subject00027	-0.346275
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-214	04	sham	subject00032	-0.533586
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-214	02	rtpj	subject00033	-0.475097
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-214	03	vlpfc	subject00034	0.035043
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-214	01	both	subject00035	0.134505
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-215	02	sham	subject00036	-0.843864
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-215	01	rtpj	subject00037	-0.231825
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-215	04	vlpfc	subject00038	-0.516765
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-215	03	both	subject00039	0.050738
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-217	03	sham	subject00040	0.133303
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-217	04	rtpj	subject00041	-0.695937
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-217	01	vlpfc	subject00042	-0.90369
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-217	02	both	subject00043	0.188174
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-218	01	sham	subject00044	0.120629
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-218	03	rtpj	subject00045	-0.25538
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-218	02	vlpfc	subject00046	-1.232013
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-218	04	both	subject00047	-0.437889
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-219	04	sham	subject00048	-0.948034
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-219	02	rtpj	subject00049	0.029336
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-219	03	vlpfc	subject00050	-0.955749
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-219	01	both	subject00051	-0.890216
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-221	02	sham	subject00056	-0.328159
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-221	01	rtpj	subject00057	-0.057775
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-221	04	vlpfc	subject00058	-0.456725
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-221	03	both	subject00059	0.021985
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-222	03	sham	subject00060	0.873748
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-222	04	rtpj	subject00061	-0.813846
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-222	01	vlpfc	subject00062	-1.040015
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-222	02	both	subject00063	0.168868
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-225	04	sham	subject00064	-0.336963
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-225	02	rtpj	subject00065	-0.511583
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-225	03	vlpfc	subject00066	-0.853498
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-225	01	both	subject00067	0.142381
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-226	03	sham	subject00068	-0.90152
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-226	04	rtpj	subject00069	-0.259125
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-226	01	vlpfc	subject00070	-1.608308
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-226	02	both	subject00071	-1.101811
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-227	02	sham	subject00072	-0.198455
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-227	01	rtpj	subject00073	-0.349567
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-227	04	vlpfc	subject00074	-1.038518
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-227	03	both	subject00075	-0.821365
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-228	01	sham	subject00076	-0.909175
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-228	03	rtpj	subject00077	-1.522022
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-228	02	vlpfc	subject00078	-0.717915
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-228	04	both	subject00079	0.235156
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-230	01	sham	subject00080	-1.259588
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-230	03	rtpj	subject00081	-0.794966
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-230	02	vlpfc	subject00082	-1.10391
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-230	04	both	subject00083	-0.804221
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-231	03	sham	subject00084	-0.803177
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-231	04	rtpj	subject00085	0.39761
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-231	01	vlpfc	subject00086	-0.536671
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-231	02	both	subject00087	0.243275
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-234	04	sham	subject00088	-0.45369
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-234	02	rtpj	subject00089	0.519265
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-234	03	vlpfc	subject00090	-1.090262
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-234	01	both	subject00091	0.187784
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-235	01	sham	subject00092	-0.84388
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-235	03	rtpj	subject00093	-1.231985
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-235	02	vlpfc	subject00094	0.107517
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-235	04	both	subject00095	0.241002
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-236	02	sham	subject00096	0.113848
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-236	01	rtpj	subject00097	-0.510961
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-236	04	vlpfc	subject00098	-0.878248
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-236	03	both	subject00099	0.246411
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-237	03	sham	subject00100	-0.496585
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-237	04	rtpj	subject00101	-0.066886
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-237	01	vlpfc	subject00102	-0.019991
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-237	02	both	subject00103	0.202516
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-238	04	sham	subject00104	-0.793515
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-238	02	rtpj	subject00105	-0.846971
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-238	03	vlpfc	subject00106	-0.389541
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	C1	mean_pos	positive	intercept	sub-238	01	both	subject00107	0.444776
