model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	randomise_index	participant	subject_contrast_beta	delta_fd_mean	delta_fd_mean_demeaned	delta_mean_pupil_area	delta_mean_pupil_area_demeaned
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	0	sub-189	2.087643	0.010018	0.021619976	-6.654929	-61.58945316
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	1	sub-203	0.618716	-0.005343	0.006258976	78.5320393	23.59751514
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	2	sub-207	3.960211	0.090005	0.101606976	907.876262	852.9417378
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	3	sub-208	1.209085	-0.034749	-0.023147024	-210.4997441	-265.4342683
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	4	sub-209	0.25188	0.325295	0.336896976	276.957361	222.0228368
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	5	sub-210	0.750422	0.009011	0.020612976	74.7481852	19.81366104
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	6	sub-211	-0.82809	-0.025823	-0.014221024	107.229843	52.29531884
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	7	sub-214	2.296064	0.010616	0.022217976	113.210326	58.27580184
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	8	sub-215	1.767668	0.06127	0.072871976	-175.218463	-230.1529872
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	9	sub-217	-0.324047	0.165305	0.176906976	-215.3071911	-270.2417153
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	10	sub-218	2.087364	0.374007	0.385608976	145.789826	90.85530184
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	11	sub-219	3.876705	-0.004221	0.007380976	77.5544442	22.61992004
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	12	sub-221	2.245727	0.059374	0.070975976	144.036244	89.10171984
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	13	sub-222	6.698249	-0.755526	-0.743924024	215.906962	160.9724378
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	14	sub-225	1.145433	-0.013794	-0.002192024	-82.347585	-137.2821092
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	15	sub-226	2.514772	-0.527127	-0.515525024	-269.718391	-324.6529152
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	16	sub-227	0.790727	0.086474	0.098075976	-379.795085	-434.7296092
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	17	sub-228	5.580352	0.029638	0.041239976	131.9733732	77.03884904
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	18	sub-230	2.595049	0.122265	0.133866976	429.154056	374.2195318
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	19	sub-231	0.692031	-0.039098	-0.027496024	-6.1039346	-61.03845876
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	20	sub-234	2.229323	-0.006444	0.005157976	-233.97662	-288.9111442
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	21	sub-235	2.215785	0.062222	0.073823976	380.456929	325.5224048
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	22	sub-236	1.307586	0.0202546	0.031856576	72.952763	18.01823884
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	23	sub-237	0.237448	-0.081531	-0.069929024	63.62645	8.691925844
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	24	sub-238	3.683988	-0.222148	-0.210546024	-267.0200172	-321.9545414
