model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	participant	run	condition	dual_regression_label	stage2_beta
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	02	sham	subject00000	0.198184
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	01	rtpj	subject00001	-0.33392
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	04	vlpfc	subject00002	0.618957
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	03	both	subject00003	-1.043723
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	03	sham	subject00004	-0.165564
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	04	rtpj	subject00005	0.30166
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	01	vlpfc	subject00006	-0.252417
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	02	both	subject00007	-0.207911
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	02	sham	subject00008	-1.452976
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	01	rtpj	subject00009	0.22132
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	04	vlpfc	subject00010	0.107525
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	03	both	subject00011	-1.838307
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-208	04	sham	subject00012	-0.317902
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-208	02	rtpj	subject00013	0.374675
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-208	03	vlpfc	subject00014	-0.056694
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-208	01	both	subject00015	-0.395349
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	01	sham	subject00016	-0.995985
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	03	rtpj	subject00017	-0.35153
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	02	vlpfc	subject00018	0.689569
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	04	both	subject00019	-0.470411
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	03	sham	subject00020	-0.084474
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	04	rtpj	subject00021	-0.623246
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	01	vlpfc	subject00022	-0.034543
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	02	both	subject00023	-0.439404
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	04	sham	subject00024	-0.479296
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	02	rtpj	subject00025	-0.171729
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	03	vlpfc	subject00026	-0.400022
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	01	both	subject00027	-0.658472
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-213	01	sham	subject00028	-0.429127
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-213	03	rtpj	subject00029	-0.618317
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-213	02	vlpfc	subject00030	0.251108
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-213	04	both	subject00031	-0.900541
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	04	sham	subject00032	-0.081708
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	02	rtpj	subject00033	0.124684
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	03	vlpfc	subject00034	0.250323
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	01	both	subject00035	-0.757672
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-215	02	sham	subject00036	0.151716
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-215	01	rtpj	subject00037	-0.309156
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-215	04	vlpfc	subject00038	1.469664
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-215	03	both	subject00039	0.708671
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-217	03	sham	subject00040	0.009849
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-217	04	rtpj	subject00041	-0.184965
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-217	01	vlpfc	subject00042	0.337667
cov-fdmean-blink	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-217	02	both	subject00043	-1.291184
