model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	participant	run	condition	dual_regression_label	stage2_beta
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	02	sham	subject00000	0.409945
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	01	rtpj	subject00001	-0.164487
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	04	vlpfc	subject00002	0.940324
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-189	03	both	subject00003	-0.928787
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	03	sham	subject00004	0.160749
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	04	rtpj	subject00005	0.647394
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	01	vlpfc	subject00006	0.030799
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-203	02	both	subject00007	-0.086001
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	02	sham	subject00008	-1.711485
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	01	rtpj	subject00009	-0.304269
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	04	vlpfc	subject00010	-0.401987
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-207	03	both	subject00011	-2.115443
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	01	sham	subject00016	-1.273762
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	03	rtpj	subject00017	0.082658
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	02	vlpfc	subject00018	1.431618
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-209	04	both	subject00019	-0.209098
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	03	sham	subject00020	-0.168464
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	04	rtpj	subject00021	-0.431366
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	01	vlpfc	subject00022	0.192718
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-210	02	both	subject00023	-0.341145
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	04	sham	subject00024	-0.090414
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	02	rtpj	subject00025	0.025171
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	03	vlpfc	subject00026	-0.145503
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-211	01	both	subject00027	-0.621244
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	04	sham	subject00032	0.3054
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	02	rtpj	subject00033	-0.267511
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	C2	mean_neg	negative	intercept	sub-214	03	vlpfc	subject00034	0.135297
