model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	participant	run	condition	dual_regression_label	stage2_beta
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-189	02	sham	subject00000	0.661932
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-189	01	rtpj	subject00001	0.160932
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-189	04	vlpfc	subject00002	1.097043
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-189	03	both	subject00003	0.92101
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-203	03	sham	subject00004	1.034497
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-203	04	rtpj	subject00005	1.017078
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-203	01	vlpfc	subject00006	1.291402
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-203	02	both	subject00007	1.434541
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-207	02	sham	subject00008	-0.098451
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-207	01	rtpj	subject00009	-0.141455
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-207	04	vlpfc	subject00010	0.865777
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-207	03	both	subject00011	0.662554
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-209	01	sham	subject00016	1.883939
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-209	03	rtpj	subject00017	0.991723
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-209	02	vlpfc	subject00018	0.825905
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-209	04	both	subject00019	1.427157
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-210	03	sham	subject00020	0.780098
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-210	04	rtpj	subject00021	0.440299
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-210	01	vlpfc	subject00022	0.527816
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-210	02	both	subject00023	1.469081
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-211	04	sham	subject00024	0.842287
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-211	02	rtpj	subject00025	0.268518
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-211	03	vlpfc	subject00026	0.714662
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-211	01	both	subject00027	0.339909
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-213	01	sham	subject00028	0.542711
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-213	03	rtpj	subject00029	0.571192
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-213	02	vlpfc	subject00030	0.88669
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-213	04	both	subject00031	1.110841
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-214	04	sham	subject00032	0.718316
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-214	02	rtpj	subject00033	1.234588
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-214	03	vlpfc	subject00034	1.389813
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-214	01	both	subject00035	1.587128
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-215	02	sham	subject00036	0.87254
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-215	01	rtpj	subject00037	0.780926
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	sub-215	04	vlpfc	subject00038	1.625388
