model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	participant	run	condition	dual_regression_label	stage2_beta
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-189	02	sham	subject00000	1.296867
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-189	01	rtpj	subject00001	0.247094
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-189	04	vlpfc	subject00002	-0.962372
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-189	03	both	subject00003	-0.664553
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-203	03	sham	subject00004	0.254794
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-203	04	rtpj	subject00005	0.521653
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-203	01	vlpfc	subject00006	0.19096
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-203	02	both	subject00007	0.250903
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-207	02	sham	subject00008	1.817716
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-207	01	rtpj	subject00009	0.08639
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-207	04	vlpfc	subject00010	0.549266
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-207	03	both	subject00011	-0.119877
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-208	04	sham	subject00012	0.931335
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-208	02	rtpj	subject00013	1.378924
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-208	03	vlpfc	subject00014	0.776503
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-208	01	both	subject00015	0.988783
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-209	01	sham	subject00016	4.746444
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-209	03	rtpj	subject00017	1.575448
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-209	02	vlpfc	subject00018	2.849547
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-209	04	both	subject00019	1.559342
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-210	03	sham	subject00020	1.78139
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-210	04	rtpj	subject00021	0.822882
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-210	01	vlpfc	subject00022	1.072646
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-210	02	both	subject00023	1.805532
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-211	04	sham	subject00024	-0.211
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-211	02	rtpj	subject00025	-0.003822
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-211	03	vlpfc	subject00026	-0.13602
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-211	01	both	subject00027	0.235978
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-213	01	sham	subject00028	0.38404
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-213	03	rtpj	subject00029	-0.043457
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-213	02	vlpfc	subject00030	0.474771
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-213	04	both	subject00031	0.53054
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-214	04	sham	subject00032	0.811448
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-214	02	rtpj	subject00033	0.823246
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-214	03	vlpfc	subject00034	0.776366
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-214	01	both	subject00035	0.960445
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-215	02	sham	subject00036	0.960198
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-215	01	rtpj	subject00037	0.479519
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-215	04	vlpfc	subject00038	0.782165
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-215	03	both	subject00039	0.78436
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-217	03	sham	subject00040	1.891341
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-217	04	rtpj	subject00041	-0.449575
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-217	01	vlpfc	subject00042	1.664187
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-217	02	both	subject00043	1.660038
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-218	01	sham	subject00044	1.84939
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-218	03	rtpj	subject00045	1.405474
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-218	02	vlpfc	subject00046	0.146499
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-218	04	both	subject00047	1.944944
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-219	04	sham	subject00048	1.569505
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	sub-219	02	rtpj	subject00049	0.538793
