participant,intercept,delta_fd_mean_demeaned,delta_blink_rate_per_min_demeaned
sub-189,1,0.003341355556,-40.13677362
sub-203,1,0.05458835556,-20.078924
sub-207,1,-0.1198126444,40.19043344
sub-208,1,-0.01190964444,-25.05095176
sub-209,1,-0.2755406444,-4.187431072
sub-210,1,0.05441135556,10.09938839
sub-211,1,0.03447835556,-32.11181956
sub-213,1,0.03187435556,73.81320037
sub-214,1,0.1024893556,0.9473261179
sub-215,1,-0.03267364444,-22.80462729
sub-217,1,-0.1898816444,-16.06473725
sub-218,1,-0.05070864444,-16.38643884
sub-219,1,0.009108355556,-15.58289888
sub-220,1,0.006659055556,67.71670106
sub-221,1,-0.09946664444,-22.16075831
sub-222,1,-0.005444644444,21.65210434
sub-225,1,0.03850935556,-4.670905612
sub-226,1,0.3486023556,-13.01455931
sub-227,1,-0.1126146444,-20.87911641
sub-228,1,0.02908835556,-8.039650272
sub-230,1,0.1555723556,49.89916246
sub-231,1,0.07041635556,-9.964672492
sub-234,1,0.03408335556,30.32143607
sub-235,1,-0.02178564444,29.02161865
sub-236,1,0.01621805556,-6.754779202
sub-237,1,0.05654535556,-16.54539366
sub-238,1,-0.1261476444,-29.22693332
