participant	intercept	delta_fd_mean_demeaned	delta_blink_rate_per_min_demeaned
sub-189	1	-0.02844982593	-5.213141776
sub-203	1	0.02040167407	-15.40647062
sub-207	1	0.01528917407	180.3627841
sub-208	1	-0.03341032593	-23.99218031
sub-209	1	-0.2516228259	-8.424389171
sub-210	1	0.07894817407	-36.11083983
sub-211	1	-0.06192532593	-17.73272749
sub-213	1	-0.05135232593	51.11391934
sub-214	1	0.004111174074	9.709794834
sub-215	1	-0.001934325926	-1.523333033
sub-217	1	0.03006467407	-18.21394648
sub-218	1	0.2093691741	-4.576387616
sub-219	1	-0.01591232593	-3.851853456
sub-220	1	-0.01030067593	-33.14234226
sub-221	1	-0.008291825926	15.16623673
sub-222	1	0.6465271741	-35.94852806
sub-225	1	-0.1130678259	-29.3674457
sub-226	1	-0.1456403259	0.6435186682
sub-227	1	-0.1229418259	-4.731862081
sub-228	1	0.006595674074	-5.536041631
sub-230	1	0.01381567407	17.49616194
sub-231	1	-0.04319632593	-8.263929761
sub-234	1	-0.01137882593	-17.01334078
sub-235	1	-0.008672325926	-35.62338582
sub-236	1	0.01256082407	10.67431277
sub-237	1	0.01727417407	-8.666924336
sub-238	1	-0.1468603259	28.17234177
