participant,intercept,delta_fd_mean_demeaned,delta_blink_rate_per_min_demeaned
sub-189,1,-0.00455342963,-28.55892877
sub-203,1,0.05456057037,-17.8029327
sub-207,1,0.05759557037,314.8064065
sub-208,1,-0.06190642963,-43.0023216
sub-209,1,-0.05189042963,4.822102436
sub-210,1,0.1273725704,-57.77271437
sub-211,1,-0.05830142963,-75.74470091
sub-213,1,-0.03664742963,-8.333517014
sub-214,1,0.07817957037,10.60152505
sub-215,1,0.05520657037,-5.608191339
sub-217,1,0.1126365704,-27.7556225
sub-218,1,0.5702295704,6.427309266
sub-219,1,-0.00337142963,-12.67046326
sub-220,1,-0.02088242963,-12.51002634
sub-221,1,0.01355657037,-13.79561037
sub-222,1,-0.09951342963,10.28121812
sub-225,1,-0.09539942963,-25.66835019
sub-226,1,-0.4862584296,-6.410548299
sub-227,1,-0.08056742963,-9.780100354
sub-228,1,0.06298557037,-24.70649167
sub-230,1,0.2260745704,39.33023419
sub-231,1,-0.03487842963,-14.43584009
sub-234,1,0.01142657037,17.8214933
sub-235,1,0.05486457037,-15.71162083
sub-236,1,0.05313217037,-8.336932724
sub-237,1,-0.02377642963,-12.35260927
sub-238,1,-0.4198744296,16.86723377
