randomise_index	participant	contrast	delta_fd_mean	delta_fd_mean_mean	delta_fd_mean_demeaned
0	sub-189	both-minus-rtpj	-0.001476	0.0286445037	-0.0301205037
1	sub-203	both-minus-rtpj	0.021752	0.0286445037	-0.006892503704
2	sub-207	both-minus-rtpj	0.10384	0.0286445037	0.0751954963
3	sub-208	both-minus-rtpj	0.001189	0.0286445037	-0.0274555037
4	sub-209	both-minus-rtpj	-0.085208	0.0286445037	-0.1138525037
5	sub-210	both-minus-rtpj	0.080387	0.0286445037	0.0517424963
6	sub-211	both-minus-rtpj	-0.05052	0.0286445037	-0.0791645037
7	sub-213	both-minus-rtpj	-0.038645	0.0286445037	-0.0672895037
8	sub-214	both-minus-rtpj	-0.018489	0.0286445037	-0.0471335037
9	sub-215	both-minus-rtpj	0.043047	0.0286445037	0.0144024963
10	sub-217	both-minus-rtpj	0.15365	0.0286445037	0.1250054963
11	sub-218	both-minus-rtpj	0.263368	0.0286445037	0.2347234963
12	sub-219	both-minus-rtpj	0.008178	0.0286445037	-0.0204665037
13	sub-220	both-minus-rtpj	0.0150143	0.0286445037	-0.0136302037
14	sub-221	both-minus-rtpj	0.070086	0.0286445037	0.0414414963
15	sub-222	both-minus-rtpj	0.677894	0.0286445037	0.6492494963
16	sub-225	both-minus-rtpj	-0.103678	0.0286445037	-0.1323225037
17	sub-226	both-minus-rtpj	-0.291297	0.0286445037	-0.3199415037
18	sub-227	both-minus-rtpj	-0.03799	0.0286445037	-0.0666345037
19	sub-228	both-minus-rtpj	0.020696	0.0286445037	-0.007948503704
20	sub-230	both-minus-rtpj	-0.035326	0.0286445037	-0.0639705037
21	sub-231	both-minus-rtpj	-0.04976	0.0286445037	-0.0784045037
22	sub-234	both-minus-rtpj	0.000224	0.0286445037	-0.0284205037
23	sub-235	both-minus-rtpj	0.030865	0.0286445037	0.002220496296
24	sub-236	both-minus-rtpj	0.0330963	0.0286445037	0.004451796296
25	sub-237	both-minus-rtpj	0.017646	0.0286445037	-0.0109985037
26	sub-238	both-minus-rtpj	-0.055142	0.0286445037	-0.0837865037
