randomise_index	participant	contrast	delta_fd_mean	delta_fd_mean_mean	delta_fd_mean_demeaned
0	sub-189	both-minus-vlpfc	-0.022458	0.004321148148	-0.02677914815
1	sub-203	both-minus-vlpfc	0.052017	0.004321148148	0.04769585185
2	sub-207	both-minus-vlpfc	-0.040296	0.004321148148	-0.04461714815
3	sub-208	both-minus-vlpfc	-0.035044	0.004321148148	-0.03936514815
4	sub-209	both-minus-vlpfc	-0.385072	0.004321148148	-0.3893931481
5	sub-210	both-minus-vlpfc	0.110475	0.004321148148	0.1061538519
6	sub-211	both-minus-vlpfc	-0.040365	0.004321148148	-0.04468614815
7	sub-213	both-minus-vlpfc	-0.031094	0.004321148148	-0.03541514815
8	sub-214	both-minus-vlpfc	0.059677	0.004321148148	0.05535585185
9	sub-215	both-minus-vlpfc	-0.01395	0.004321148148	-0.01827114815
10	sub-217	both-minus-vlpfc	-0.060555	0.004321148148	-0.06487614815
11	sub-218	both-minus-vlpfc	0.188336	0.004321148148	0.1840148519
12	sub-219	both-minus-vlpfc	-0.007037	0.004321148148	-0.01135814815
13	sub-220	both-minus-vlpfc	-0.00265	0.004321148148	-0.006971148148
14	sub-221	both-minus-vlpfc	-0.053704	0.004321148148	-0.05802514815
15	sub-222	both-minus-vlpfc	0.648126	0.004321148148	0.6438048519
16	sub-225	both-minus-vlpfc	-0.089492	0.004321148148	-0.09381314815
17	sub-226	both-minus-vlpfc	0.032982	0.004321148148	0.02866085185
18	sub-227	both-minus-vlpfc	-0.174928	0.004321148148	-0.1792491481
19	sub-228	both-minus-vlpfc	0.025461	0.004321148148	0.02113985185
20	sub-230	both-minus-vlpfc	0.095923	0.004321148148	0.09160185185
21	sub-231	both-minus-vlpfc	-0.003667	0.004321148148	-0.007988148148
22	sub-234	both-minus-vlpfc	0.009984	0.004321148148	0.005662851852
23	sub-235	both-minus-vlpfc	-0.015244	0.004321148148	-0.01956514815
24	sub-236	both-minus-vlpfc	0.024991	0.004321148148	0.02066985185
25	sub-237	both-minus-vlpfc	0.049868	0.004321148148	0.04554685185
26	sub-238	both-minus-vlpfc	-0.205613	0.004321148148	-0.2099341481
