randomise_index	participant	contrast	delta_fd_mean	delta_fd_mean_mean	delta_fd_mean_demeaned
0	sub-189	vlpfc-minus-sham	0.010018	-0.01220771852	0.02222571852
1	sub-203	vlpfc-minus-sham	-0.005343	-0.01220771852	0.006864718519
2	sub-207	vlpfc-minus-sham	0.090005	-0.01220771852	0.1022127185
3	sub-208	vlpfc-minus-sham	-0.034749	-0.01220771852	-0.02254128148
4	sub-209	vlpfc-minus-sham	0.325295	-0.01220771852	0.3375027185
5	sub-210	vlpfc-minus-sham	0.009011	-0.01220771852	0.02121871852
6	sub-211	vlpfc-minus-sham	-0.025823	-0.01220771852	-0.01361528148
7	sub-213	vlpfc-minus-sham	-0.01344	-0.01220771852	-0.001232281481
8	sub-214	vlpfc-minus-sham	0.010616	-0.01220771852	0.02282371852
9	sub-215	vlpfc-minus-sham	0.06127	-0.01220771852	0.07347771852
10	sub-217	vlpfc-minus-sham	0.165305	-0.01220771852	0.1775127185
11	sub-218	vlpfc-minus-sham	0.374007	-0.01220771852	0.3862147185
12	sub-219	vlpfc-minus-sham	-0.004221	-0.01220771852	0.007986718519
13	sub-220	vlpfc-minus-sham	-0.026119	-0.01220771852	-0.01391128148
14	sub-221	vlpfc-minus-sham	0.059374	-0.01220771852	0.07158171852
15	sub-222	vlpfc-minus-sham	-0.755526	-0.01220771852	-0.7433182815
16	sub-225	vlpfc-minus-sham	-0.013794	-0.01220771852	-0.001586281481
17	sub-226	vlpfc-minus-sham	-0.527127	-0.01220771852	-0.5149192815
18	sub-227	vlpfc-minus-sham	0.086474	-0.01220771852	0.09868171852
19	sub-228	vlpfc-minus-sham	0.029638	-0.01220771852	0.04184571852
20	sub-230	vlpfc-minus-sham	0.122265	-0.01220771852	0.1344727185
21	sub-231	vlpfc-minus-sham	-0.039098	-0.01220771852	-0.02689028148
22	sub-234	vlpfc-minus-sham	-0.006444	-0.01220771852	0.005763718519
23	sub-235	vlpfc-minus-sham	0.062222	-0.01220771852	0.07442971852
24	sub-236	vlpfc-minus-sham	0.0202546	-0.01220771852	0.03246231852
25	sub-237	vlpfc-minus-sham	-0.081531	-0.01220771852	-0.06932328148
26	sub-238	vlpfc-minus-sham	-0.222148	-0.01220771852	-0.2099402815
