randomise_index	participant	contrast	delta_fd_mean	delta_fd_mean_mean	delta_fd_mean_demeaned
0	sub-189	rtpj-minus-sham	-0.010964	-0.03653107407	0.02556707407
1	sub-203	rtpj-minus-sham	0.024922	-0.03653107407	0.06145307407
2	sub-207	rtpj-minus-sham	-0.054131	-0.03653107407	-0.01759992593
3	sub-208	rtpj-minus-sham	-0.070982	-0.03653107407	-0.03445092593
4	sub-209	rtpj-minus-sham	0.025431	-0.03653107407	0.06196207407
5	sub-210	rtpj-minus-sham	0.039099	-0.03653107407	0.07563007407
6	sub-211	rtpj-minus-sham	-0.015668	-0.03653107407	0.02086307407
7	sub-213	rtpj-minus-sham	-0.005889	-0.03653107407	0.03064207407
8	sub-214	rtpj-minus-sham	0.088782	-0.03653107407	0.1253130741
9	sub-215	rtpj-minus-sham	0.004273	-0.03653107407	0.04080407407
10	sub-217	rtpj-minus-sham	-0.0489	-0.03653107407	-0.01236892593
11	sub-218	rtpj-minus-sham	0.298975	-0.03653107407	0.3355060741
12	sub-219	rtpj-minus-sham	-0.019436	-0.03653107407	0.01709507407
13	sub-220	rtpj-minus-sham	-0.0437833	-0.03653107407	-0.007252225926
14	sub-221	rtpj-minus-sham	-0.064416	-0.03653107407	-0.02788492593
15	sub-222	rtpj-minus-sham	-0.785294	-0.03653107407	-0.7487629259
16	sub-225	rtpj-minus-sham	0.000392	-0.03653107407	0.03692307407
17	sub-226	rtpj-minus-sham	-0.202848	-0.03653107407	-0.1663169259
18	sub-227	rtpj-minus-sham	-0.050464	-0.03653107407	-0.01393292593
19	sub-228	rtpj-minus-sham	0.034403	-0.03653107407	0.07093407407
20	sub-230	rtpj-minus-sham	0.253514	-0.03653107407	0.2900450741
21	sub-231	rtpj-minus-sham	0.006995	-0.03653107407	0.04352607407
22	sub-234	rtpj-minus-sham	0.003316	-0.03653107407	0.03984707407
23	sub-235	rtpj-minus-sham	0.016113	-0.03653107407	0.05264407407
24	sub-236	rtpj-minus-sham	0.0121493	-0.03653107407	0.04868037407
25	sub-237	rtpj-minus-sham	-0.049309	-0.03653107407	-0.01277792593
26	sub-238	rtpj-minus-sham	-0.372619	-0.03653107407	-0.3360879259
